REGULAR RARES AND REGULAR MYTHIC RARES PRICES

To search for a card type control+f
Bot accounts: pisiiki3, supernova01, bifidus, ComparePrices, tina16, mteamtester, supernova02, pisiiki2

Name                                               Buy       Sell      Bot Account[Stock Available]
Descendants' Path [AVR]                            0.046     0.084     mteamtester[4]
Revenge of the Hunted [AVR]                        0.05
Alchemist's Refuge [AVR]                           0.05      0.092     pisiiki3[1] supernova02[1] pisiiki2[2] ComparePrices[3] supernova01[2]
Killing Wave [AVR]                                 0.052     0.092     tina16[4] pisiiki3[2] supernova01[2]
Angel of Glory's Rise [AVR]                        0.062     0.105     mteamtester[1] supernova02[1] supernova01[4]
Devastation Tide [AVR]                             0.064     0.115     supernova01[2] supernova02[1] pisiiki3[3] ComparePrices[2] pisiiki2[1]
Soul of the Harvest [AVR]                          0.066
Wild Defiance [AVR]                                0.068     0.12      ComparePrices[1]
Slayers' Stronghold [AVR]                          0.086     0.12      supernova01[2] pisiiki2[2] ComparePrices[1]
Desolate Lighthouse [AVR]                          0.1
Cathars' Crusade [AVR]                             0.105     0.145     mteamtester[1]
Zealous Conscripts [AVR]                                     0.26      ComparePrices[3] pisiiki3[4] pisiiki2[1] supernova01[3] bifidus[1] mteamtester[3]
Reforge the Soul [AVR]                             0.2       0.28      mteamtester[1] bifidus[3] tina16[1]
Ulvenwald Tracker [AVR]                            0.25
Exquisite Blood [AVR]                              0.25
Conjurer's Closet [AVR]                            0.27
Angel of Jubilation [AVR]                          0.28      0.38      pisiiki2[1] supernova02[1] ComparePrices[1] supernova01[1]
Champion of Lambholt [AVR]                         0.35      0.46      tina16[1] pisiiki2[3] bifidus[1] mteamtester[1] supernova01[1]
Wolfir Silverheart [AVR]                           0.35      0.48      ComparePrices[3] pisiiki2[2]
Descent into Madness [AVR]                         0.82      1.1       mteamtester[1] pisiiki2[2] supernova02[3]
Silverblade Paladin [AVR]                          0.98      1.2       pisiiki2[4]
Misthollow Griffin [AVR]                           1.1       1.4       mteamtester[1] supernova01[2] supernova02[1] tina16[1]
Malignus [AVR]                                     1.15      1.45      ComparePrices[1]
Bruna, Light of Alabaster [AVR]                    1.35      1.7       pisiiki3[1] supernova02[2] bifidus[1]
Terminus [AVR]                                     1.35      1.7       bifidus[3] supernova02[2] tina16[2]
Tibalt, the Fiend-Blooded [AVR]                    1.5       1.85      mteamtester[1] supernova01[1] pisiiki2[3]
Primal Surge [AVR]                                 2.05      2.45      ComparePrices[1] bifidus[4] supernova01[1]
Gisela, Blade of Goldnight [AVR]                   2.1       2.45      supernova02[1] tina16[1] pisiiki3[1]
Vexing Devil [AVR]                                 3.55
Entreat the Angels [AVR]                           3.95      4.85      supernova01[2] pisiiki3[1] tina16[4] supernova02[1]
Craterhoof Behemoth [AVR]                          4.6       5.6       bifidus[2] tina16[2] supernova02[1] pisiiki2[4]
Avacyn, Angel of Hope [AVR]                        4.7       5.75      pisiiki2[2] ComparePrices[2]
Sigarda, Host of Herons [AVR]                      4.75      5.85      pisiiki3[2] mteamtester[2] tina16[3]
Temporal Mastery [AVR]                             5.5       6.75      supernova01[1]
Cavern of Souls [AVR]                              6.05      7.45      tina16[1] mteamtester[1] ComparePrices[1] pisiiki3[4] pisiiki2[3]
Tamiyo, the Moon Sage [AVR]                        7.95      9.75      pisiiki3[1] pisiiki2[4] mteamtester[1]
Restoration Angel [AVR]                            9.7       11.2      tina16[4]
Griselbrand [AVR]                                  13.1      15.1      pisiiki3[1] mteamtester[3]
Bonfire of the Damned [AVR]                        20.5      23.75     pisiiki3[1] tina16[4] mteamtester[2]

=== Dark Ascension === [Total Buy/Sell Value: 46/57] =============================================================================================

Séance [DKA]                                       0.016     0.034     supernova01[1] mteamtester[1] pisiiki2[1] tina16[4] bifidus[1]
Ghoultree [DKA]                                    0.022     0.044     pisiiki3[4]
Curse of Echoes [DKA]                              0.028     0.052     pisiiki2[3] supernova01[2]
Alpha Brawl [DKA]                                  0.028     0.052     supernova02[1] tina16[3] pisiiki2[1]
Dungeon Geists [DKA]                               0.028     0.054     tina16[3] pisiiki3[1] mteamtester[1]
Curse of Misfortunes [DKA]                         0.028     0.054     supernova01[2] mteamtester[1] ComparePrices[1] tina16[3] supernova02[2]
Sudden Disappearance [DKA]                         0.03      0.058     pisiiki2[1] tina16[1] supernova01[3] supernova02[1] pisiiki3[1]
Feed the Pack [DKA]                                0.032     0.058     supernova01[1] supernova02[2] mteamtester[2] pisiiki2[2]
Call to the Kindred [DKA]                          0.032     0.06      supernova02[4] pisiiki2[2] ComparePrices[1] mteamtester[1] supernova01[1]
Ravenous Demon [DKA]                               0.032     0.062     bifidus[1] mteamtester[3] supernova01[1]
Requiem Angel [DKA]                                0.032     0.062     supernova01[1] mteamtester[2] pisiiki3[1] ComparePrices[1] pisiiki2[1]
Counterlash [DKA]                                  0.034     0.062     supernova01[1] tina16[2] mteamtester[4] pisiiki3[1]
Grim Backwoods [DKA]                               0.034     0.062     mteamtester[1] ComparePrices[1] tina16[1] supernova01[2] bifidus[2]
Lost in the Woods [DKA]                            0.034     0.062     tina16[1] mteamtester[2] supernova01[2]
Havengul Runebinder [DKA]                          0.034     0.062     pisiiki2[1] supernova02[1] mteamtester[1] supernova01[1]
Deranged Outcast [DKA]                             0.034     0.062     pisiiki2[1] tina16[3] supernova02[2] mteamtester[3] bifidus[1]
Jar of Eyeballs [DKA]                              0.034     0.064     pisiiki2[1] mteamtester[4]
Geralf's Mindcrusher [DKA]                         0.036     0.066     pisiiki2[2] tina16[2]
Fiend of the Shadows [DKA]                         0.036     0.068     supernova02[1] supernova01[2]
Flayer of the Hatebound [DKA]                      0.038     0.07      mteamtester[2] bifidus[1] supernova01[4] tina16[1] pisiiki2[1]
Curse of Bloodletting [DKA]                        0.04      0.074     ComparePrices[3] tina16[1] pisiiki3[1] pisiiki2[1]
Mondronen Shaman [DKA]                             0.04      0.074     supernova02[2] tina16[1] mteamtester[1] pisiiki3[1]
Zombie Apocalypse [DKA]                            0.04      0.074     ComparePrices[1] mteamtester[1] pisiiki3[2] supernova01[2] pisiiki2[2]
Increasing Ambition [DKA]                          0.046     0.082     supernova01[4]
Markov Blademaster [DKA]                           0.052     0.092     pisiiki3[1] supernova02[1] ComparePrices[1]
Wolfbitten Captive [DKA]                           0.074     0.115     ComparePrices[1] supernova01[2] supernova02[1]
Increasing Confusion [DKA]                         0.094     0.13      pisiiki2[2]
Increasing Savagery [DKA]                          0.14      0.19      bifidus[1] supernova02[1]
Thraben Doomsayer [DKA]                            0.15      0.2       supernova01[1] ComparePrices[3] pisiiki3[1] tina16[1]
Increasing Devotion [DKA]                                    0.21      bifidus[2] pisiiki3[4] pisiiki2[1] mteamtester[3] tina16[1] supernova02[1]
Elbrus, the Binding Blade [DKA]                    0.21      0.29      mteamtester[1]
Increasing Vengeance [DKA]                         0.25      0.34      mteamtester[3] ComparePrices[2] tina16[1] supernova01[1] pisiiki3[1]
Helvault [DKA]                                     0.24      0.32      supernova01[1] pisiiki3[1] pisiiki2[2] bifidus[4] mteamtester[1]
Archangel's Light [DKA]                            0.4       0.54      mteamtester[2]
Vault of the Archangel [DKA]                       0.48      0.64      ComparePrices[1]
Moonveil Dragon [DKA]                              0.66      0.88      tina16[4] supernova01[1]
Beguiler of Wills [DKA]                            0.8       1.05      bifidus[1] pisiiki3[1] pisiiki2[1] supernova01[1]
Grafdigger's Cage [DKA]                            0.82      1.05      supernova02[2] tina16[1]
Predator Ooze [DKA]                                0.82      1.05      tina16[3] supernova01[1] pisiiki3[3]
Geralf's Messenger [DKA]                           1         1.25      mteamtester[4] bifidus[1] pisiiki3[1] supernova02[1] supernova01[2]
Drogskol Reaver [DKA]                              1.15      1.45      pisiiki3[1] bifidus[1] ComparePrices[1]
Gravecrawler [DKA]                                           1.55      pisiiki2[3] supernova02[1] supernova01[4] bifidus[1] ComparePrices[2] pisiiki3[3]
Havengul Lich [DKA]                                1.45      1.8       supernova01[1] pisiiki3[1] bifidus[2]
Mikaeus, the Unhallowed [DKA]                      1.85      2.2       pisiiki2[2] mteamtester[2] pisiiki3[3]
Thalia, Guardian of Thraben [DKA]                  2.2       2.6       supernova02[3] tina16[3] pisiiki2[2] ComparePrices[1]
Vorapede [DKA]                                     2.55      3.05      ComparePrices[1] pisiiki3[1] pisiiki2[1]
Hellrider [DKA]                                    4.7       5.8       bifidus[1] supernova02[4] ComparePrices[2] mteamtester[1]
Huntmaster of the Fells [DKA]                      7.3       8.95      supernova02[1] pisiiki2[1] bifidus[4]
Falkenrath Aristocrat [DKA]                        8.3       10.1      supernova01[4] mteamtester[4] supernova02[1] tina16[1]
Sorin, Lord of Innistrad [DKA]                     8.5       10.4      supernova02[2] pisiiki2[1]

=== Innistrad === [Total Buy/Sell Value: 122/142] ================================================================================================

Sturmgeist [ISD]                                   0.008     0.02      pisiiki2[4] ComparePrices[4]
Divine Reckoning [ISD]                             0.01      0.024     pisiiki2[2]
Creeping Renaissance [ISD]                         0.014     0.028     pisiiki2[4] ComparePrices[1]
Heretic's Punishment [ISD]                         0.014     0.028     pisiiki2[1]
Dearly Departed [ISD]                              0.014
Gutter Grime [ISD]                                 0.016     0.032     supernova02[1] tina16[1] supernova01[3] pisiiki2[4]
Elder of Laurels [ISD]                             0.016     0.032     pisiiki2[1]
Back from the Brink [ISD]                          0.016     0.034     supernova02[1] pisiiki2[4] supernova01[2] pisiiki3[1] ComparePrices[1]
Runechanter's Pike [ISD]                           0.016     0.034     pisiiki2[4] supernova01[2]
Angel of Flight Alabaster [ISD]                    0.016
Geist-Honored Monk [ISD]                           0.016     0.034     supernova01[1] pisiiki2[1]
Manor Gargoyle [ISD]                               0.016     0.034     ComparePrices[1] tina16[1]
Witchbane Orb [ISD]                                0.018     0.036     pisiiki2[1]
Stensia Bloodhall [ISD]                            0.02
Falkenrath Marauders [ISD]                         0.02      0.04      pisiiki2[4]
Instigator Gang [ISD]                              0.02      0.04      supernova01[1] pisiiki2[4]
Devil's Play [ISD]                                 0.02      0.04      pisiiki2[4]
Kruin Outlaw [ISD]                                 0.022     0.042     pisiiki2[2]
Moldgraf Monstrosity [ISD]                         0.022     0.042     pisiiki2[4]
Mindshrieker [ISD]                                 0.022     0.042     pisiiki2[4]
Endless Ranks of the Dead [ISD]                    0.022     0.044     pisiiki2[4]
Laboratory Maniac [ISD]                            0.024     0.046     mteamtester[1] bifidus[1] pisiiki2[2] pisiiki3[1] supernova02[2] tina16[1]
Charmbreaker Devils [ISD]                          0.024     0.046     pisiiki2[2]
Daybreak Ranger [ISD]                              0.024     0.048     ComparePrices[1] pisiiki2[4] tina16[2]
Creepy Doll [ISD]                                  0.026
Bloodgift Demon [ISD]                              0.026     0.052     tina16[2] pisiiki2[4]
Unbreathing Horde [ISD]                            0.026     0.052     pisiiki2[2]
Ludevic's Test Subject [ISD]                       0.028     0.054     supernova01[1] pisiiki2[4] bifidus[1] tina16[1] supernova02[1]
Kessig Cagebreakers [ISD]                          0.028     0.054     pisiiki2[2]
Undead Alchemist [ISD]                             0.028     0.054     pisiiki2[4]
Moorland Haunt [ISD]                               0.028     0.054     ComparePrices[3] pisiiki2[1] supernova01[4]
